beta,seed,algorithm,label,run_tag,status,rounds,best_acc,best_round,time,comm_time,comm_MB,energy,time_at_best_acc,comm_time_at_best_acc,comm_MB_at_best_acc,energy_at_best_acc,missing_metrics,suffix
0.05,1,AutoRL_DFL_MM,AutoRL,seed1_beta0.05_autorl,complete,200,19.459999084472656,86,7484.633616554464,1796.263174915416,8112.508209228516,149640.32452766332,2918.1514166194847,927.2640061367397,4151.9204750061035,63651.84775600998,,AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_23_42_50_numuser10_clientSelection_autorl_tagseed1_beta0.05_autorl
0.05,1,DFL_MM,DFL-MM,seed1_beta0.05_dflmm,complete,200,16.070000171661377,179,6885.7536189253115,1695.0676726460981,15282.8369140625,147740.34332987212,6102.086256209178,1510.7749470252456,13678.139038085938,131492.75819935725,,DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_23_24_52_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.05_dflmm
0.05,1,DFL,DFL,seed1_beta0.05_dfl,complete,200,18.585000038146973,200,10953.706485273435,7486.345634138421,30861.971088409424,179456.81997441605,10953.706485273435,7486.345634138421,30861.971088409424,179456.81997441605,,DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_18_56_24_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.05_dfl
0.05,1,DFedPGP,DFedPGP,seed1_beta0.05_dfedpgp,complete,200,9.385000228881836,181,12300.957338377955,7486.345634138421,30230.42544746399,205098.76995909013,11138.026410276078,6779.160626153321,27306.714120864868,185859.22390533402,,DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_18_56_43_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.05_dfedpgp
0.05,1,LD_SGD,LD-SGD,seed1_beta0.05_ldsgd,complete,200,12.079999923706055,200,8562.013029885866,3042.1879749830823,12666.227439880371,149974.81480641197,8562.013029885866,3042.1879749830823,12666.227439880371,149974.81480641197,,LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_18_57_49_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.05_ldsgd
0.05,42,AutoRL_DFL_MM,AutoRL,seed42_beta0.05_autorl,complete,200,20.280000686645508,167,7106.342399224826,1915.6383584979608,8495.173690795898,148859.5811470392,5796.4909004681995,1688.0265833014112,7385.443794250488,123190.1832821127,,AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_18_27_numuser10_clientSelection_autorl_tagseed42_beta0.05_autorl
0.05,42,DFL_MM,DFL-MM,seed42_beta0.05_dflmm,complete,200,16.735000610351562,186,6949.187098776158,1681.4476530859195,15282.8369140625,146168.50726829027,6477.64208124932,1571.825267497065,14213.038330078125,136472.2683556536,,DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_18_26_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.05_dflmm
0.05,42,DFL,DFL,seed42_beta0.05_dfl,complete,200,17.414999961853027,183,10442.06414533255,7391.485602080574,30421.905784606934,178454.96571063282,9611.068589475613,6791.165385719493,27819.78050994873,163328.4855173228,,DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_12_58_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.05_dfl
0.05,42,DFedPGP,DFedPGP,seed42_beta0.05_dfedpgp,complete,200,9.295000076293945,166,11689.918602842798,7391.485602080574,29799.36544418335,204078.13698642663,9745.219967130615,6138.735343003385,24607.903665542603,169279.44128344767,,DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_19_49_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.05_dfedpgp
0.05,42,LD_SGD,LD-SGD,seed42_beta0.05_ldsgd,complete,200,11.200000286102295,199,8084.367487299984,2953.4835612412635,11977.429573059082,146114.86859156605,8017.6122216432195,2918.2712857921065,11824.363380432129,145268.80586625874,,LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_53_58_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.05_ldsgd
0.05,1024,AutoRL_DFL_MM,AutoRL,seed1024_beta0.05_autorl,complete,200,19.709999084472656,99,7895.619242162291,1586.8531299630388,7098.444683074951,158124.2681463178,3428.554212315906,953.6110037657229,4209.320297241211,76113.98143272084,,AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_34_33_numuser10_clientSelection_autorl_tagseed1024_beta0.05_autorl
0.05,1024,DFL_MM,DFL-MM,seed1024_beta0.05_dflmm,complete,200,16.269999504089355,183,7334.24007630095,1650.9257734790024,15282.8369140625,152139.0802660119,6713.781969844401,1516.6818389408556,13983.795776367188,139367.18734461383,,DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_31_35_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.05_dflmm
0.05,1024,DFL,DFL,seed1024_beta0.05_dfl,complete,200,20.030000686645508,200,11391.636524804004,7467.101471686377,30938.5041847229,185851.96062504832,11391.636524804004,7467.101471686377,30938.5041847229,185851.96062504832,,DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_25_06_55_51_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.05_dfl
0.05,1024,DFedPGP,DFedPGP,seed1024_beta0.05_dfedpgp,complete,200,9.40999984741211,171,12832.093421675792,7467.101471686377,30305.392404556274,212612.86870841234,10943.90144250354,6445.388808358333,25957.308893203735,182271.4224696527,,DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_25_06_56_34_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.05_dfedpgp
